ticket_id,issue_category,priority,resolution_time,cost_per_hour,client_type,escalation_count,satisfaction_score,total_cost,cost_efficiency
1,Account/Access,Critical,5.135493724915759,40.0,Small,1,4.490744021435182,355.41974899663035,0.012599593692765993
2,Software,Critical,2.779351391884439,40.0,Small,0,4.268844910378244,111.17405567537756,0.038055545773720875
3,Account/Access,Medium,1.772420477216416,90.0,Enterprise,0,4.472590246132602,242.74463986097464,0.018349491700345274
4,Network,Low,5.52036701619553,60.0,Medium,1,3.4789836445356745,481.22202097173175,0.007214485223062046
5,Unknown,High,3.64927142942823,60.0,Medium,1,3.971987833872345,368.9562857656938,0.0107363707191826
6,Unknown,Medium,0.25,40.0,Small,1,5.0,160.0,0.031055900621118012
7,Unknown,High,0.9163535915262012,40.0,Small,2,4.546732321351576,336.65414366104807,0.013465649412896836
8,Account/Access,High,2.545904521360477,60.0,Medium,0,4.204948786043545,152.75427128162863,0.027348500636716778
9,Hardware,Low,1.2450163763470306,40.0,Small,0,4.71557948952684,49.80065505388122,0.09282517094563657
10,Unknown,Medium,1.772420477216416,60.0,Medium,0,4.490744021435182,34.01839980094977,0.12823955540405313
11,Software,Medium,1.772420477216416,60.0,Medium,0,4.600775211017959,50.88903995512469,0.08866564528842426
12,Other,High,1.7960812972170614,40.0,Small,1,4.859397949798196,221.8432518886825,0.021806350017839555
13,Network,Medium,8.61916901692623,60.0,Medium,1,3.714394145348384,667.1501410155738,0.005559220775891157
14,Account/Access,Low,1.0713280395782971,90.0,Enterprise,0,4.792039585999708,96.41952356204676,0.049189725126787806
15,Unknown,Medium,0.4836409036434103,60.0,Medium,0,4.933076783462442,29.018454218604617,0.16433480376897808
16,Software,Low,1.3905884008002003,40.0,Small,0,4.376290996083643,85.08076259864038,0.05083936136217229
17,Network,Low,1.73902603589735,90.0,Enterprise,0,4.483512809422719,156.5123432307615,0.028464517240113712
18,Hardware,High,2.41951066224391,60.0,Medium,0,4.507313228001756,143.1023697607435,0.03127855034920905
19,Unknown,Medium,0.8954428545784485,40.0,Small,1,4.589785155445534,185.81771418313792,0.024568254544353085
20,Network,Low,1.3905884008002003,40.0,Small,1,4.265943132138778,248.86307876511276,0.017073123221014327
21,Account/Access,Medium,3.683955540680834,40.0,Small,0,4.490744021435182,147.35822162723335,0.030269599973493072
22,Software,Low,0.5255324104085024,40.0,Small,0,4.58926483730533,21.021296416340096,0.2084012108342556
23,Other,High,1.613158721252759,40.0,Small,0,4.457336739573172,64.52634885011035,0.06802357857247933
24,Account/Access,Medium,0.7681890118841768,40.0,Small,0,4.3962158482074205,30.72756047536707,0.13856142049183373
25,Unknown,Low,0.991908328770334,60.0,Medium,0,4.388435165711599,59.51449972622004,0.07251873824563992
26,Hardware,Medium,2.441939021572192,40.0,Small,0,4.490744021435182,97.67756086288767,0.045509272646848904
27,Software,Medium,2.081415018098948,60.0,Medium,0,4.483644121569415,124.88490108593687,0.03561701270677887
28,Hardware,Medium,6.981516665858666,40.0,Small,1,3.885039316448717,429.26066663434665,0.009029501457427863
29,Hardware,Critical,3.425270339702206,90.0,Enterprise,1,4.490744021435182,458.2743305731986,0.009777912072356617
30,Network,Medium,3.186134556808073,60.0,Medium,0,4.235591513183851,191.1680734084844,0.022041078094072446
31,Account/Access,Medium,1.772420477216416,40.0,Small,0,4.63978932199606,128.8400846092699,0.03573464493618178
32,Other,Medium,2.794426835246078,40.0,Small,1,4.490744021435182,261.7770734098431,0.01708955794035785
33,Software,Medium,4.59430467764152,60.0,Medium,0,3.560846635026424,275.6582806584912,0.012870920134944222
34,Software,Medium,4.355034717977637,60.0,Medium,0,4.110221787337145,261.30208307865826,0.015669802309974737
35,Software,High,2.1148530238646632,40.0,Small,1,3.95571939699105,234.5941209545865,0.01679039944190102
36,Unknown,Medium,1.772420477216416,60.0,Medium,1,4.19927733306563,197.7968249005413,0.021123462787529638
37,Hardware,Low,0.5274404106291606,40.0,Small,1,4.837538448645513,171.09761642516642,0.028109270477601474
38,Software,Medium,0.5613152317416141,60.0,Medium,0,4.983873749416966,33.678913904496845,0.14371481653497523
39,Software,Medium,3.5138602783539485,40.0,Small,0,4.490744021435182,140.55441113415793,0.03172450780907907
40,Network,High,2.41951066224391,40.0,Small,1,3.943283345901465,397.6970055166811,0.009890426291994013
41,Software,Medium,1.772420477216416,40.0,Small,0,5.0,15.349371616836748,0.305822151283842
42,Account/Access,Medium,1.772420477216416,60.0,Medium,0,4.676967134891736,38.597947411533184,0.11811135274980279
43,Account/Access,Low,2.266475007020911,40.0,Small,0,4.167557592853785,90.65900028083644,0.04546806729382488
44,Software,Low,0.3956305000597759,40.0,Small,1,3.920890910700566,165.82522000239103,0.023502986602651384
45,Unknown,Low,1.1895158473711138,90.0,Enterprise,0,4.490744021435182,107.05642626340024,0.04155924989124169
