ticket_id,issue_category,priority,resolution_time,cost_per_hour,client_type,escalation_count,satisfaction_score,total_cost
1,Account/Access,Critical,5.135493724915759,40.0,Small,1,,355.41974899663035
2,Software,Critical,2.779351391884439,40.0,Small,0,4.268844910378244,111.17405567537756
3,Account/Access,Medium,,90.0,Enterprise,0,4.472590246132602,242.74463986097462
4,Network,Low,5.52036701619553,60.0,Medium,1,3.4789836445356745,481.22202097173175
5,,High,3.64927142942823,60.0,Medium,1,3.9719878338723453,368.9562857656938
6,,Medium,0.25,40.0,Small,1,5.0,160.0
7,,High,0.9163535915262012,40.0,Small,2,4.546732321351576,336.65414366104807
8,Account/Access,High,2.545904521360477,60.0,Medium,0,4.204948786043545,152.75427128162863
9,Hardware,Low,1.2450163763470306,40.0,Small,0,4.71557948952684,49.80065505388122
10,,Medium,,60.0,Medium,0,,34.01839980094977
11,Software,Medium,,60.0,Medium,0,4.600775211017959,50.88903995512469
12,Other,High,1.7960812972170614,40.0,Small,1,4.859397949798196,221.84325188868246
13,Network,Medium,8.61916901692623,60.0,Medium,1,3.7143941453483844,667.1501410155738
14,Account/Access,Low,1.0713280395782971,90.0,Enterprise,0,4.792039585999708,96.41952356204675
15,,Medium,0.4836409036434103,60.0,Medium,0,4.933076783462442,29.018454218604617
16,Software,Low,,40.0,Small,0,4.376290996083643,85.08076259864038
17,Network,Low,1.73902603589735,90.0,Enterprise,0,4.483512809422719,156.5123432307615
18,Hardware,High,,60.0,Medium,0,4.507313228001756,143.1023697607435
19,,Medium,0.8954428545784485,40.0,Small,1,4.589785155445534,185.81771418313792
20,Network,Low,,40.0,Small,1,4.265943132138778,248.86307876511273
21,Account/Access,Medium,3.683955540680834,40.0,Small,0,,147.35822162723335
22,Software,Low,0.5255324104085024,40.0,Small,0,4.58926483730533,21.021296416340096
23,Other,High,1.613158721252759,40.0,Small,0,4.457336739573172,64.52634885011035
24,Account/Access,Medium,0.7681890118841768,40.0,Small,0,4.3962158482074205,30.72756047536707
25,,Low,0.991908328770334,60.0,Medium,0,4.388435165711599,59.51449972622004
26,Hardware,,2.4419390215721917,40.0,Small,0,,97.67756086288767
27,Software,,2.081415018098948,60.0,Medium,0,4.483644121569415,124.88490108593687
28,Hardware,,6.981516665858666,40.0,Small,1,3.8850393164487174,429.26066663434665
29,Hardware,Critical,3.4252703397022066,90.0,Enterprise,1,,458.2743305731986
30,Network,,3.1861345568080734,60.0,Medium,0,4.235591513183851,191.16807340848442
